FID_,OBJECTID,KD_DS,KD_KC,KD_KAB,KD_PROV,DS,KEC,KAB_,HECTARES_,PROV_,Luas,Shape_Leng,Shape_Area
,1,3311020010.000000000000000,3311020,3311,33,Lengking,Bulu,SUKOHARJO,261.081999999999990,PROVINSI JAWA TENGAH,261.081999999999990,9458.537173270000500,2610819.526759999800000
,2,3311020009.000000000000000,3311020,3311,33,Malangan,Bulu,SUKOHARJO,246.223999999999990,PROVINSI JAWA TENGAH,246.223999999999990,7913.721793310000100,2462238.232929999900000
,3,3311020011.000000000000000,3311020,3311,33,Ngasinan,Bulu,SUKOHARJO,402.281999999999980,PROVINSI JAWA TENGAH,402.281999999999980,11166.894978700000000,4022821.144710000100000
,4,3311020008.000000000000000,3311020,3311,33,Puron,Bulu,SUKOHARJO,276.764000000000010,PROVINSI JAWA TENGAH,276.764000000000010,8370.457827869999200,2767638.201870000000000
,5,3311020012.000000000000000,3311020,3311,33,Karangasem,Bulu,SUKOHARJO,367.406999999999980,PROVINSI JAWA TENGAH,367.406999999999980,11774.698751200000000,3674069.471460000100000
,6,3311020007.000000000000000,3311020,3311,33,Kunden,Bulu,SUKOHARJO,343.822000000000000,PROVINSI JAWA TENGAH,343.822000000000000,9350.833448440000200,3438219.809839999800000
,7,3311020006.000000000000000,3311020,3311,33,Bulu,Bulu,SUKOHARJO,259.879000000000020,PROVINSI JAWA TENGAH,259.879000000000020,8558.253003840000000,2598789.819120000100000
,8,3311020005.000000000000000,3311020,3311,33,Tiyaran,Bulu,SUKOHARJO,349.488000000000000,PROVINSI JAWA TENGAH,349.488000000000000,9935.358109259999800,3494883.983560000100000
,9,3311020002.000000000000000,3311020,3311,33,Kamal,Bulu,SUKOHARJO,403.803000000000000,PROVINSI JAWA TENGAH,403.803000000000000,8989.937615049999300,4038034.272049999800000
,10,3311020003.000000000000000,3311020,3311,33,Gentan,Bulu,SUKOHARJO,485.259999999999990,PROVINSI JAWA TENGAH,485.259999999999990,11340.579044700000000,4852602.205540000500000
,11,3311020001.000000000000000,3311020,3311,33,Sanggang,Bulu,SUKOHARJO,722.509000000000010,PROVINSI JAWA TENGAH,722.509000000000010,13892.470706800001000,7225092.596029999700000
,12,3311020004.000000000000000,3311020,3311,33,Kedungsono,Bulu,SUKOHARJO,495.553999999999970,PROVINSI JAWA TENGAH,495.553999999999970,10030.483621199999000,4955537.863459999700000
